DateTime,'-,100歳以上,10代,10歳未満,20代,30代,40代,50代,60代,70代,80代,90代,不明
2020-01-31,0,0,0,0,0,2,1,0,0,0,0,0,0
2020-02-29,0,0,0,0,2,2,2,5,4,6,3,0,0
2020-03-31,0,0,6,4,13,18,21,21,16,19,11,6,0
2020-04-30,1,2,23,22,30,30,30,30,30,30,27,21,4
2020-05-31,0,0,7,5,23,16,18,14,15,15,15,10,1
